"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000001",3041
"http://purl.obolibrary.org/obo/PATO_0000004",16
"http://purl.obolibrary.org/obo/PATO_0000008",25
"http://purl.obolibrary.org/obo/PATO_0000011",6
"http://purl.obolibrary.org/obo/PATO_0000014",19
"http://purl.obolibrary.org/obo/PATO_0000016",7
"http://purl.obolibrary.org/obo/PATO_0000017",9
"http://purl.obolibrary.org/obo/PATO_0000018",13
"http://purl.obolibrary.org/obo/PATO_0000025",23
"http://purl.obolibrary.org/obo/PATO_0000033",76
"http://purl.obolibrary.org/obo/PATO_0000039",2
"http://purl.obolibrary.org/obo/PATO_0000040",28
"http://purl.obolibrary.org/obo/PATO_0000044",17
"http://purl.obolibrary.org/obo/PATO_0000047",17
"http://purl.obolibrary.org/obo/PATO_0000048",12
"http://purl.obolibrary.org/obo/PATO_0000049",6
"http://purl.obolibrary.org/obo/PATO_0000050",14
"http://purl.obolibrary.org/obo/PATO_0000051",679
"http://purl.obolibrary.org/obo/PATO_0000052",121
"http://purl.obolibrary.org/obo/PATO_0000057",99
"http://purl.obolibrary.org/obo/PATO_0000060",37
"http://purl.obolibrary.org/obo/PATO_0000068",1316
"http://purl.obolibrary.org/obo/PATO_0000069",1245
"http://purl.obolibrary.org/obo/PATO_0000070",92
"http://purl.obolibrary.org/obo/PATO_0000077",44
"http://purl.obolibrary.org/obo/PATO_0000078",5
"http://purl.obolibrary.org/obo/PATO_0000080",3
"http://purl.obolibrary.org/obo/PATO_0000082",3
"http://purl.obolibrary.org/obo/PATO_0000085",152
"http://purl.obolibrary.org/obo/PATO_0000117",218
"http://purl.obolibrary.org/obo/PATO_0000119",24
"http://purl.obolibrary.org/obo/PATO_0000122",53
"http://purl.obolibrary.org/obo/PATO_0000125",10
"http://purl.obolibrary.org/obo/PATO_0000128",5
"http://purl.obolibrary.org/obo/PATO_0000133",27
"http://purl.obolibrary.org/obo/PATO_0000136",10
"http://purl.obolibrary.org/obo/PATO_0000140",164
"http://purl.obolibrary.org/obo/PATO_0000141",165
"http://purl.obolibrary.org/obo/PATO_0000146",63
"http://purl.obolibrary.org/obo/PATO_0000150",10
"http://purl.obolibrary.org/obo/PATO_0000152",2
"http://purl.obolibrary.org/obo/PATO_0000161",73
"http://purl.obolibrary.org/obo/PATO_0000165",21
"http://purl.obolibrary.org/obo/PATO_0000169",42
"http://purl.obolibrary.org/obo/PATO_0000186",56
"http://purl.obolibrary.org/obo/PATO_0000188",17
"http://purl.obolibrary.org/obo/PATO_0000261",4
"http://purl.obolibrary.org/obo/PATO_0000274",35
"http://purl.obolibrary.org/obo/PATO_0000276",3
"http://purl.obolibrary.org/obo/PATO_0000279",3
"http://purl.obolibrary.org/obo/PATO_0000297",21
"http://purl.obolibrary.org/obo/PATO_0000299",11
"http://purl.obolibrary.org/obo/PATO_0000300",4
"http://purl.obolibrary.org/obo/PATO_0000303",5
"http://purl.obolibrary.org/obo/PATO_0000304",10
"http://purl.obolibrary.org/obo/PATO_0000317",3
"http://purl.obolibrary.org/obo/PATO_0000323",3
"http://purl.obolibrary.org/obo/PATO_0000324",5
"http://purl.obolibrary.org/obo/PATO_0000327",3
"http://purl.obolibrary.org/obo/PATO_0000328",5
"http://purl.obolibrary.org/obo/PATO_0000330",5
"http://purl.obolibrary.org/obo/PATO_0000374",4
