"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000000",1
"http://purl.obolibrary.org/obo/PATO_0000001",12991
"http://purl.obolibrary.org/obo/PATO_0000002",1
"http://purl.obolibrary.org/obo/PATO_0000003",1
"http://purl.obolibrary.org/obo/PATO_0000004",25
"http://purl.obolibrary.org/obo/PATO_0000005",1
"http://purl.obolibrary.org/obo/PATO_0000006",1
"http://purl.obolibrary.org/obo/PATO_0000007",1
"http://purl.obolibrary.org/obo/PATO_0000008",19
"http://purl.obolibrary.org/obo/PATO_0000009",1
"http://purl.obolibrary.org/obo/PATO_0000010",1
"http://purl.obolibrary.org/obo/PATO_0000011",96
"http://purl.obolibrary.org/obo/PATO_0000012",1
"http://purl.obolibrary.org/obo/PATO_0000013",1
"http://purl.obolibrary.org/obo/PATO_0000014",411
"http://purl.obolibrary.org/obo/PATO_0000016",4
"http://purl.obolibrary.org/obo/PATO_0000017",33
"http://purl.obolibrary.org/obo/PATO_0000018",14
"http://purl.obolibrary.org/obo/PATO_0000019",84
"http://purl.obolibrary.org/obo/PATO_0000020",1
"http://purl.obolibrary.org/obo/PATO_0000022",1
"http://purl.obolibrary.org/obo/PATO_0000023",1
"http://purl.obolibrary.org/obo/PATO_0000024",1
"http://purl.obolibrary.org/obo/PATO_0000025",683
"http://purl.obolibrary.org/obo/PATO_0000026",1
"http://purl.obolibrary.org/obo/PATO_0000027",1
"http://purl.obolibrary.org/obo/PATO_0000028",1
"http://purl.obolibrary.org/obo/PATO_0000029",1
"http://purl.obolibrary.org/obo/PATO_0000030",1
"http://purl.obolibrary.org/obo/PATO_0000031",1
"http://purl.obolibrary.org/obo/PATO_0000032",1
"http://purl.obolibrary.org/obo/PATO_0000033",68
"http://purl.obolibrary.org/obo/PATO_0000034",1
"http://purl.obolibrary.org/obo/PATO_0000035",1
"http://purl.obolibrary.org/obo/PATO_0000036",1
"http://purl.obolibrary.org/obo/PATO_0000037",5
"http://purl.obolibrary.org/obo/PATO_0000038",1
"http://purl.obolibrary.org/obo/PATO_0000039",156
"http://purl.obolibrary.org/obo/PATO_0000040",53
"http://purl.obolibrary.org/obo/PATO_0000041",1
"http://purl.obolibrary.org/obo/PATO_0000042",1
"http://purl.obolibrary.org/obo/PATO_0000043",13
"http://purl.obolibrary.org/obo/PATO_0000044",67
"http://purl.obolibrary.org/obo/PATO_0000045",1
"http://purl.obolibrary.org/obo/PATO_0000046",1
