"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000001",31
"http://purl.obolibrary.org/obo/PATO_0000004",5
"http://purl.obolibrary.org/obo/PATO_0000008",7
"http://purl.obolibrary.org/obo/PATO_0000011",10
"http://purl.obolibrary.org/obo/PATO_0000014",9
"http://purl.obolibrary.org/obo/PATO_0000016",2
"http://purl.obolibrary.org/obo/PATO_0000017",1
"http://purl.obolibrary.org/obo/PATO_0000018",4
"http://purl.obolibrary.org/obo/PATO_0000019",2
"http://purl.obolibrary.org/obo/PATO_0000025",9
"http://purl.obolibrary.org/obo/PATO_0000033",8
"http://purl.obolibrary.org/obo/PATO_0000037",2
"http://purl.obolibrary.org/obo/PATO_0000039",4
"http://purl.obolibrary.org/obo/PATO_0000040",4
"http://purl.obolibrary.org/obo/PATO_0000043",1
"http://purl.obolibrary.org/obo/PATO_0000044",10
"http://purl.obolibrary.org/obo/PATO_0000047",5
"http://purl.obolibrary.org/obo/PATO_0000048",2
"http://purl.obolibrary.org/obo/PATO_0000049",5
"http://purl.obolibrary.org/obo/PATO_0000050",4
"http://purl.obolibrary.org/obo/PATO_0000051",23
"http://purl.obolibrary.org/obo/PATO_0000052",14
"http://purl.obolibrary.org/obo/PATO_0000057",3
"http://purl.obolibrary.org/obo/PATO_0000060",6
"http://purl.obolibrary.org/obo/PATO_0000066",1
"http://purl.obolibrary.org/obo/PATO_0000068",4
"http://purl.obolibrary.org/obo/PATO_0000069",1
"http://purl.obolibrary.org/obo/PATO_0000070",7
"http://purl.obolibrary.org/obo/PATO_0000077",3
"http://purl.obolibrary.org/obo/PATO_0000078",2
"http://purl.obolibrary.org/obo/PATO_0000080",2
"http://purl.obolibrary.org/obo/PATO_0000082",5
"http://purl.obolibrary.org/obo/PATO_0000083",2
"http://purl.obolibrary.org/obo/PATO_0000085",2
"http://purl.obolibrary.org/obo/PATO_0000117",14
"http://purl.obolibrary.org/obo/PATO_0000119",7
"http://purl.obolibrary.org/obo/PATO_0000122",20
"http://purl.obolibrary.org/obo/PATO_0000125",22
"http://purl.obolibrary.org/obo/PATO_0000128",10
"http://purl.obolibrary.org/obo/PATO_0000133",9
"http://purl.obolibrary.org/obo/PATO_0000136",2
"http://purl.obolibrary.org/obo/PATO_0000140",10
"http://purl.obolibrary.org/obo/PATO_0000141",11
"http://purl.obolibrary.org/obo/PATO_0000146",15
"http://purl.obolibrary.org/obo/PATO_0000150",6
"http://purl.obolibrary.org/obo/PATO_0000152",2
"http://purl.obolibrary.org/obo/PATO_0000161",11
"http://purl.obolibrary.org/obo/PATO_0000165",9
"http://purl.obolibrary.org/obo/PATO_0000169",6
"http://purl.obolibrary.org/obo/PATO_0000185",2
"http://purl.obolibrary.org/obo/PATO_0000186",4
"http://purl.obolibrary.org/obo/PATO_0000188",2
"http://purl.obolibrary.org/obo/PATO_0000261",1
"http://purl.obolibrary.org/obo/PATO_0000273",5
"http://purl.obolibrary.org/obo/PATO_0000274",5
"http://purl.obolibrary.org/obo/PATO_0000276",3
"http://purl.obolibrary.org/obo/PATO_0000277",2
"http://purl.obolibrary.org/obo/PATO_0000279",3
"http://purl.obolibrary.org/obo/PATO_0000297",5
"http://purl.obolibrary.org/obo/PATO_0000299",1
"http://purl.obolibrary.org/obo/PATO_0000300",2
"http://purl.obolibrary.org/obo/PATO_0000303",2
"http://purl.obolibrary.org/obo/PATO_0000304",2
"http://purl.obolibrary.org/obo/PATO_0000308",1
"http://purl.obolibrary.org/obo/PATO_0000309",1
"http://purl.obolibrary.org/obo/PATO_0000317",2
"http://purl.obolibrary.org/obo/PATO_0000318",3
"http://purl.obolibrary.org/obo/PATO_0000319",2
"http://purl.obolibrary.org/obo/PATO_0000320",4
"http://purl.obolibrary.org/obo/PATO_0000322",3
"http://purl.obolibrary.org/obo/PATO_0000323",4
"http://purl.obolibrary.org/obo/PATO_0000324",3
"http://purl.obolibrary.org/obo/PATO_0000327",3
"http://purl.obolibrary.org/obo/PATO_0000328",6
"http://purl.obolibrary.org/obo/PATO_0000329",1
"http://purl.obolibrary.org/obo/PATO_0000330",5
"http://purl.obolibrary.org/obo/PATO_0000331",1
"http://purl.obolibrary.org/obo/PATO_0000333",2
"http://purl.obolibrary.org/obo/PATO_0000336",1
"http://purl.obolibrary.org/obo/PATO_0000337",3
"http://purl.obolibrary.org/obo/PATO_0000345",1
"http://purl.obolibrary.org/obo/PATO_0000374",4
"http://purl.obolibrary.org/obo/PATO_0000375",4
"http://purl.obolibrary.org/obo/PATO_0000380",5
"http://purl.obolibrary.org/obo/PATO_0000381",6
"http://purl.obolibrary.org/obo/PATO_0000383",3
"http://purl.obolibrary.org/obo/PATO_0000384",4
"http://purl.obolibrary.org/obo/PATO_0000386",5
"http://purl.obolibrary.org/obo/PATO_0000387",2
"http://purl.obolibrary.org/obo/PATO_0000389",2
"http://purl.obolibrary.org/obo/PATO_0000394",1
"http://purl.obolibrary.org/obo/PATO_0000395",2
"http://purl.obolibrary.org/obo/PATO_0000396",3
"http://purl.obolibrary.org/obo/PATO_0000402",13
"http://purl.obolibrary.org/obo/PATO_0000403",4
"http://purl.obolibrary.org/obo/PATO_0000404",4
"http://purl.obolibrary.org/obo/PATO_0000405",5
"http://purl.obolibrary.org/obo/PATO_0000406",4
"http://purl.obolibrary.org/obo/PATO_0000407",6
"http://purl.obolibrary.org/obo/PATO_0000410",1
"http://purl.obolibrary.org/obo/PATO_0000411",7
"http://purl.obolibrary.org/obo/PATO_0000413",3
"http://purl.obolibrary.org/obo/PATO_0000414",1
"http://purl.obolibrary.org/obo/PATO_0000422",3
"http://purl.obolibrary.org/obo/PATO_0000427",2
"http://purl.obolibrary.org/obo/PATO_0000428",1
"http://purl.obolibrary.org/obo/PATO_0000440",1
"http://purl.obolibrary.org/obo/PATO_0000453",1
"http://purl.obolibrary.org/obo/PATO_0000454",1
"http://purl.obolibrary.org/obo/PATO_0000460",12
"http://purl.obolibrary.org/obo/PATO_0000461",4
"http://purl.obolibrary.org/obo/PATO_0000462",10
"http://purl.obolibrary.org/obo/PATO_0000464",1
"http://purl.obolibrary.org/obo/PATO_0000467",6
"http://purl.obolibrary.org/obo/PATO_0000470",6
"http://purl.obolibrary.org/obo/PATO_0000488",1
"http://purl.obolibrary.org/obo/PATO_0000498",5
"http://purl.obolibrary.org/obo/PATO_0000499",6
"http://purl.obolibrary.org/obo/PATO_0000500",1
"http://purl.obolibrary.org/obo/PATO_0000502",6
"http://purl.obolibrary.org/obo/PATO_0000503",1
"http://purl.obolibrary.org/obo/PATO_0000504",2
"http://purl.obolibrary.org/obo/PATO_0000505",1
"http://purl.obolibrary.org/obo/PATO_0000513",2
"http://purl.obolibrary.org/obo/PATO_0000515",1
"http://purl.obolibrary.org/obo/PATO_0000516",1
"http://purl.obolibrary.org/obo/PATO_0000547",3
"http://purl.obolibrary.org/obo/PATO_0000569",4
"http://purl.obolibrary.org/obo/PATO_0000570",3
"http://purl.obolibrary.org/obo/PATO_0000573",8
"http://purl.obolibrary.org/obo/PATO_0000574",8
"http://purl.obolibrary.org/obo/PATO_0000582",4
"http://purl.obolibrary.org/obo/PATO_0000583",4
"http://purl.obolibrary.org/obo/PATO_0000584",4
"http://purl.obolibrary.org/obo/PATO_0000585",5
"http://purl.obolibrary.org/obo/PATO_0000586",15
"http://purl.obolibrary.org/obo/PATO_0000587",16
"http://purl.obolibrary.org/obo/PATO_0000591",6
"http://purl.obolibrary.org/obo/PATO_0000592",6
"http://purl.obolibrary.org/obo/PATO_0000595",5
"http://purl.obolibrary.org/obo/PATO_0000596",4
"http://purl.obolibrary.org/obo/PATO_0000599",5
"http://purl.obolibrary.org/obo/PATO_0000600",5
"http://purl.obolibrary.org/obo/PATO_0000608",3
"http://purl.obolibrary.org/obo/PATO_0000609",4
"http://purl.obolibrary.org/obo/PATO_0000610",4
"http://purl.obolibrary.org/obo/PATO_0000613",1
"http://purl.obolibrary.org/obo/PATO_0000614",1
"http://purl.obolibrary.org/obo/PATO_0000615",1
"http://purl.obolibrary.org/obo/PATO_0000616",5
"http://purl.obolibrary.org/obo/PATO_0000617",6
"http://purl.obolibrary.org/obo/PATO_0000618",2
"http://purl.obolibrary.org/obo/PATO_0000619",3
"http://purl.obolibrary.org/obo/PATO_0000620",1
"http://purl.obolibrary.org/obo/PATO_0000622",3
"http://purl.obolibrary.org/obo/PATO_0000623",4
"http://purl.obolibrary.org/obo/PATO_0000624",1
"http://purl.obolibrary.org/obo/PATO_0000625",4
"http://purl.obolibrary.org/obo/PATO_0000626",2
"http://purl.obolibrary.org/obo/PATO_0000627",4
"http://purl.obolibrary.org/obo/PATO_0000628",5
"http://purl.obolibrary.org/obo/PATO_0000629",1
"http://purl.obolibrary.org/obo/PATO_0000630",1
"http://purl.obolibrary.org/obo/PATO_0000631",2
"http://purl.obolibrary.org/obo/PATO_0000632",3
"http://purl.obolibrary.org/obo/PATO_0000634",2
