"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000000","flopo"
"http://purl.obolibrary.org/obo/PATO_0000001","agro"
"http://purl.obolibrary.org/obo/PATO_0000001","bcgo"
"http://purl.obolibrary.org/obo/PATO_0000001","cl"
"http://purl.obolibrary.org/obo/PATO_0000001","dpo"
"http://purl.obolibrary.org/obo/PATO_0000001","ecocore"
"http://purl.obolibrary.org/obo/PATO_0000001","envo"
"http://purl.obolibrary.org/obo/PATO_0000001","ero"
"http://purl.obolibrary.org/obo/PATO_0000001","fbbt"
"http://purl.obolibrary.org/obo/PATO_0000001","fbcv"
"http://purl.obolibrary.org/obo/PATO_0000001","flopo"
"http://purl.obolibrary.org/obo/PATO_0000001","foodon"
"http://purl.obolibrary.org/obo/PATO_0000001","fypo"
"http://purl.obolibrary.org/obo/PATO_0000001","gaz"
"http://purl.obolibrary.org/obo/PATO_0000001","genepio"
"http://purl.obolibrary.org/obo/PATO_0000001","hp"
"http://purl.obolibrary.org/obo/PATO_0000001","mfmo"
"http://purl.obolibrary.org/obo/PATO_0000001","micro"
"http://purl.obolibrary.org/obo/PATO_0000001","mondo"
"http://purl.obolibrary.org/obo/PATO_0000001","mp"
"http://purl.obolibrary.org/obo/PATO_0000001","ms"
"http://purl.obolibrary.org/obo/PATO_0000001","nbo"
"http://purl.obolibrary.org/obo/PATO_0000001","oba"
"http://purl.obolibrary.org/obo/PATO_0000001","omp"
"http://purl.obolibrary.org/obo/PATO_0000001","pco"
"http://purl.obolibrary.org/obo/PATO_0000001","peco"
"http://purl.obolibrary.org/obo/PATO_0000001","phipo"
"http://purl.obolibrary.org/obo/PATO_0000001","planp"
"http://purl.obolibrary.org/obo/PATO_0000001","poro"
"http://purl.obolibrary.org/obo/PATO_0000001","ppo"
"http://purl.obolibrary.org/obo/PATO_0000001","ro"
"http://purl.obolibrary.org/obo/PATO_0000001","to"
"http://purl.obolibrary.org/obo/PATO_0000001","upheno"
"http://purl.obolibrary.org/obo/PATO_0000001","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000001","xpo"
"http://purl.obolibrary.org/obo/PATO_0000001","zp"
"http://purl.obolibrary.org/obo/PATO_0000002","flopo"
"http://purl.obolibrary.org/obo/PATO_0000003","flopo"
"http://purl.obolibrary.org/obo/PATO_0000004","flopo"
"http://purl.obolibrary.org/obo/PATO_0000004","fypo"
"http://purl.obolibrary.org/obo/PATO_0000004","hp"
"http://purl.obolibrary.org/obo/PATO_0000004","mp"
"http://purl.obolibrary.org/obo/PATO_0000004","oba"
"http://purl.obolibrary.org/obo/PATO_0000004","upheno"
"http://purl.obolibrary.org/obo/PATO_0000004","zp"
"http://purl.obolibrary.org/obo/PATO_0000005","flopo"
"http://purl.obolibrary.org/obo/PATO_0000006","flopo"
"http://purl.obolibrary.org/obo/PATO_0000007","flopo"
"http://purl.obolibrary.org/obo/PATO_0000008","agro"
"http://purl.obolibrary.org/obo/PATO_0000008","envo"
"http://purl.obolibrary.org/obo/PATO_0000008","gaz"
"http://purl.obolibrary.org/obo/PATO_0000008","ms"
"http://purl.obolibrary.org/obo/PATO_0000008","oba"
"http://purl.obolibrary.org/obo/PATO_0000008","uo"
"http://purl.obolibrary.org/obo/PATO_0000008","upheno"
"http://purl.obolibrary.org/obo/PATO_0000008","wbphenotype"
"http://purl.obolibrary.org/obo/PATO_0000008","zp"
"http://purl.obolibrary.org/obo/PATO_0000009","flopo"
"http://purl.obolibrary.org/obo/PATO_0000010","flopo"
"http://purl.obolibrary.org/obo/PATO_0000011","agro"
"http://purl.obolibrary.org/obo/PATO_0000011","bcgo"
"http://purl.obolibrary.org/obo/PATO_0000011","eupath"
"http://purl.obolibrary.org/obo/PATO_0000011","flopo"
"http://purl.obolibrary.org/obo/PATO_0000011","oae"
"http://purl.obolibrary.org/obo/PATO_0000011","obcs"
"http://purl.obolibrary.org/obo/PATO_0000011","obi"
